plateifu D4000_slope D4000_mode
10001-12702 -0.16237110728015786 1
10001-3702 0.2880376700717988 -1
10001-9101 -0.026648514397723658 1
7443-12702 nan 0
7443-12703 0.10133879014564631 -1
7443-1901 0.10241317759285425 -1
7443-3701 -0.0066295961062745766 1
7443-6101 -0.03961532855200409 1
7443-6102 0.02297775672359568 -1
7443-9101 -0.11884517140216051 1
7495-3701 -0.18636011498262467 1
7495-6101 0.08970196031953732 -1
7495-6102 0.16224520748817317 -1
7495-9101 -0.011215858481062107 1
7815-12703 -0.12886421512347315 1
7815-3701 -0.2128133262514438 1
7815-3702 0.03105896829359023 -1
7815-6103 -0.11222377016938509 1
7815-6104 0.23006845840327897 -1
7957-12705 -0.2942447896704909 1
7957-3703 0.03461218433302841 -1
7957-3704 0.11957006083315844 -1
7957-9101 -0.09421764556555283 1
7957-9102 -0.06036709054482995 1
7960-12705 0.011888438391935362 -1
7960-3704 -0.13691792292747101 1
7960-6101 0.08158693998887477 -1
7960-6102 -0.0023446217375740243 1
7960-9101 -0.06812893466942657 1
7962-12704 0.07438849137238655 -1
7962-9101 0.13468054525038942 -1
7975-12702 -0.31304954318690215 1
7975-12705 -0.08612478947851666 1
7975-6104 -0.03034519185647 1
7975-9101 -0.1582623699136809 1
7977-12701 -0.023980844237221396 1
7977-3703 -0.017913796858877958 1
7977-3704 -0.23977501827826353 1
7977-9102 -0.1730146187862401 1
7990-3703 0.0107967164655287 -1
7990-6101 0.07722191459820754 -1
7990-6103 -0.24628313490003245 1
7990-6104 0.03816304836049184 -1
7991-12704 -0.045706847125124 1
7991-12705 -0.2819285073330335 1
7992-1901 -0.0008254711365823024 1
7992-3702 -0.10606206519495746 1
7992-6101 -0.33952004744637243 1
8077-12701 -0.060555838943001546 1
8077-3702 0.10905958753182572 -1
8077-3704 0.029373634522256165 -1
8077-6104 -0.21026624954295012 1
8078-3702 -0.09868199792878556 1
8078-3703 0.0685562061681194 -1
8078-3704 -0.09790273987426446 1
8078-6103 -0.23500379018436446 1
8081-12702 -0.1177431459895928 1
8081-1902 0.023161315386950262 -1
8081-3702 0.23900951807421944 -1
8081-3704 0.03564413486706925 -1
8081-6103 -0.06722325009049208 1
8081-6104 -0.09609751943829567 1
8081-9101 0.008257078831670171 -1
8082-6101 0.11812726752159854 -1
8082-6103 0.07845902913031678 -1
8082-9101 -0.039883791171738125 1
8083-3702 0.052014052643843 -1
8084-12701 -0.018124894954302313 1
8084-12703 0.01880510240902078 -1
8084-3702 0.039535955553917 -1
8084-3704 0.037105308830813526 -1
8084-6101 0.07212322285666718 -1
8084-6102 -0.061762626876294996 1
8084-9102 0.0001909546584546739 -1
8086-12701 -0.08228208995133361 1
8086-1902 -0.028791256639294008 1
8086-3702 -0.048906070374762294 1
8086-6102 0.06045974684008505 -1
8131-6101 -0.14575329738587883 1
8131-9101 0.13865693070012422 -1
8132-12703 -0.33608466437862916 1
8133-12705 -0.10879133313331969 1
8133-3701 -0.01969455754807966 1
8134-12703 -0.06199755112830687 1
8134-12704 -0.33294433307700877 1
8134-1901 -0.025135625227500055 1
8134-6103 -0.057326551350291 1
8135-12702 -0.15264324982006613 1
8135-12703 -0.25580486359901305 1
8135-12704 -0.3222114567811495 1
8135-1901 nan 0
8135-3702 -0.1223858392579385 1
8135-3704 -0.00990981731644679 1
8135-6101 0.14103379500391225 -1
8135-9102 -0.06706210571649808 1
8137-12702 -0.06270466252357061 1
8137-12703 -0.2794555258561848 1
8137-12704 -0.11473568127854886 1
8137-3702 -0.08683384834469 1
8138-12701 -0.07003424697010247 1
8138-3704 -0.018764970371583947 1
8138-6104 -0.07338116828617472 1
8138-9101 -0.3480279014681846 1
8138-9102 -0.1352974997880999 1
8140-12705 -0.08513227897004605 1
8140-1902 0.004920077371281627 -1
8140-3701 -0.10441367337574389 1
8140-6102 -0.048201290167918465 1
8140-9101 -0.07621766056775549 1
8141-12704 -0.1950960922828822 1
8141-9102 -0.08940682754253768 1
8143-6101 -0.10684473067544295 1
8143-6102 -0.09191682498490678 1
8143-9102 -0.030946571128269033 1
8145-12704 -0.21968244439097373 1
8145-1901 -0.3706135455357489 1
8145-3701 0.04589168449483079 -1
8145-6102 -0.0599391047927636 1
8145-6103 -0.12272346443398201 1
8145-6104 -0.028700048689229936 1
8145-9102 -0.05479046185977809 1
8146-12702 -0.28741115634934483 1
8146-1901 0.1155000082886816 -1
8146-6103 -0.00936552156544701 1
8146-9101 -0.027193635578568597 1
8146-9102 -0.10536590967501316 1
8147-12701 -0.13211743800118841 1
8147-12703 -0.1463742831620285 1
8147-1901 -0.001617123438570353 1
8147-1902 0.09309447141750214 -1
8147-3702 -0.026597462691622723 1
8147-3703 -0.13918369235560463 1
8147-6101 -0.055934084211222444 1
8147-6102 -0.29345098292429433 1
8147-6103 0.002147173170192169 -1
8147-9101 -0.16421894429476497 1
8147-9102 -0.10129839575988628 1
8149-12702 -0.08900239371709645 1
8149-1901 -0.039756768229750335 1
8149-3703 0.12174058570002103 -1
8149-6101 -0.0628153836137756 1
8149-6103 -0.10393617190908058 1
8149-9101 0.002831961873190751 -1
8155-12703 -0.1482513808534194 1
8155-1902 0.08299614905519645 -1
8155-3701 -0.05875973757867917 1
8155-3703 0.02337508766127452 -1
8155-6102 -0.12208539909189124 1
8155-6104 -0.0812191934756228 1
8156-12703 -0.04818097549613293 1
8156-12704 -0.03849886822773295 1
8156-3701 -0.05443554725240281 1
8156-3703 0.008117011759503539 -1
