plateifu gini m20 C A S morph_flag
10001-12702 0.44065235254545615 -0.6015314612116078 1.5653511151615132 0.7936411680049713 0.4439419537748261 0.0
10001-3702 0.46743488217524615 -1.589817524182645 2.426021066031586 0.15591468391683705 0.12488919281002332 0.0
10001-9101 0.3829722433894457 -0.8401936296901918 1.613552708248396 0.7414777088126163 0.175337108457444 0.0
7443-12702 0.4184454959423861 -0.7925379685311622 1.3105796830386343 0.8084324859772286 0.30831428016559825 0.0
7443-12703 0.46985060659886263 -2.0391869270485286 3.341441640715634 0.4703874234506435 0.21892565287099117 0.0
7443-1901 0.524015209662818 -1.3880247197774662 2.3372402677100474 0.3970959992780546 0.08796465620597194 0.0
7443-3701 0.5849201567243788 -0.88707862705881 1.8180941845331968 0.910891196577834 0.17521310859384223 0.0
7443-6101 0.4591958374141521 -0.6910308965536459 1.2221779320760482 0.48328924491027714 0.20952667883233173 0.0
7443-6102 0.3682316559235628 -0.9782513778710273 1.7844655239783007 0.34887208057168784 0.09406193139427937 0.0
7443-9101 0.3927259179074016 -0.9340263892633971 1.513404554858984 0.5973222333860749 0.17937914969613047 0.0
7495-3701 0.3385836209544998 -0.6652575873099136 1.3018300188109606 0.5453628269339467 0.17547726878257802 0.0
7495-6101 0.5540987490582283 -1.2607492638553766 2.2704609578673987 0.4892546941598592 0.25746171312772737 0.0
7495-6102 0.5302787458748544 -1.0676242299163985 2.6447163171149817 0.6922345907379909 0.18532831946261571 0.0
7495-9101 0.5280662021602597 -0.6877260454551043 1.150832662062674 0.8889643437725329 0.40287214131476407 0.0
7815-12703 0.7495056069959962 -0.5041811260018338 2.5753343595284584 1.0525398613790922 0.855444298283944 1.0
7815-3701 0.6287086912985544 -0.5425286578227003 0.9297538755446334 0.5443213770897692 0.28991886823835566 0.0
7815-3702 0.41353585602336757 -1.0940559217391224 1.8406269587033783 0.3105608345061933 0.11409891166638178 0.0
7815-6103 0.3226420964603205 -0.767686361734977 1.5450874314807646 0.42428346805537365 0.16542657409168907 0.0
7815-6104 0.3660284565700226 -1.0993280982815206 2.3131673043756775 0.3185299944867928 0.12198862077597361 0.0
7957-12705 0.3895930337828019 -0.6339908448147415 1.450486652449823 0.571142915607178 0.3665350596720711 0.0
7957-3703 0.5606952392743721 -1.6334069584132918 2.5589363050461857 0.4881478423823419 0.16303470563402803 0.0
7957-3704 0.5197433263982948 -1.3858852106304493 2.322502497846445 0.38127474087028995 0.19498461996251962 1.0
7957-9101 0.3966986565239528 -0.7137345617412102 1.3528010037046103 0.7191166397583794 0.2268605958413653 0.0
7957-9102 0.5384301240069498 -0.7467249984057477 1.2595955538933192 0.847626483058928 0.2444400125942303 0.0
7960-12705 0.3235482475438399 -0.7908730726547517 1.627794772392174 0.4057814789157893 0.2287002901082587 0.0
7960-3704 0.37684882723072827 -0.6014661314119956 1.5622588030408928 0.6544883843238648 0.2252476459018909 0.0
7960-6101 0.4153287204736409 -1.0530343905924853 1.9716513388272892 0.4769892405518487 0.14601553949379403 0.0
7960-6102 0.442488057992462 -0.9325715966644833 1.673358759639354 0.6642209069034252 0.14274163499016712 0.0
7960-9101 0.45197144766840514 -0.8046488417746506 2.034988313472695 0.6845485050629031 0.2751892353694666 0.0
7962-12704 0.5145146225316872 -0.93680002511373 1.8158018328343424 0.7007621863964517 0.22175510817258795 0.0
7962-9101 0.48432627596908545 -1.232315866332264 3.1137823034423833 0.4767952189678085 0.3358056100162497 1.0
7975-12702 0.7564080345096771 -1.5337885609914161 0.8621736285130971 0.7242079398883549 0.4224319213781877 1.0
7975-12705 0.4685001383202833 -0.5629562225083213 1.1441354096343639 0.8321167273283935 0.34937699746263867 0.0
7975-6104 0.5452585535793186 -0.4523933758653071 2.4560300592578166 0.6792664884032424 0.3287067842269421 0.0
7975-9101 0.5101397000543781 -0.6570367392489073 0.899192167119788 0.5194764967705213 0.2552307171305262 0.0
7977-12701 0.6385990617165166 -1.2384558483568378 2.470350553911407 0.745366416496383 0.3186416261716073 0.0
7977-3703 0.37632976246491884 -1.1123455549260242 1.7715928764719968 0.46868362543087727 0.12585787624725106 0.0
7977-3704 0.2868562497142042 -0.6815480220012733 1.2020040967530894 0.3659320276700755 0.19415061538855502 0.0
7977-9102 0.5361377013553061 -0.7080691810698132 1.758180412108096 0.7637269140771539 0.3075157923107071 0.0
7990-3703 0.33545639946635847 -0.837578451026842 1.7081404494115788 0.47712691893807513 0.1384575180381905 0.0
7990-6101 0.5663499406953121 -0.7091989507283326 2.0814085200190187 0.5398420650780055 0.2951950940614963 0.0
7990-6103 0.37608222971851135 -0.7817885271712256 1.2730012484833262 0.6473369760562512 0.15464080267636157 0.0
7990-6104 0.3631118491880302 -0.6521208222395141 1.3403411746316118 0.6817683028229707 0.16761936839371158 0.0
7991-12704 0.4028744996937248 -0.5691165470104316 1.4634339629827362 0.6299397473051833 0.3031514582760233 0.0
7991-12705 0.6882585617296925 -0.9439369507482418 0.8541202061631925 1.140987322340715 0.6637155502760427 0.0
7992-1901 0.3332438632214789 -0.9871214265337975 1.669786408474194 0.34670258051337366 0.10668946466094294 0.0
7992-3702 0.36779792280126095 -0.7724929520825649 1.5127611542194241 0.4251052493130502 0.17399943191773415 0.0
7992-6101 0.4056156309343147 -0.8764513978908787 1.485623384370385 0.5376432243393855 0.19970456490841587 0.0
8077-12701 0.478826331040583 -0.664065878507297 1.4193064328016485 0.8138395527015112 0.34692754343132504 0.0
8077-3702 0.5463359427520608 -1.5436198882320495 2.4245775339672755 0.1986793213309098 0.15879455958845448 0.0
8077-3704 0.44890730898157016 -1.2885225654343466 2.1963363348591396 0.2955324303774659 0.14889324919425767 0.0
8077-6104 0.3684140876816127 -0.6138714328277894 1.1193463972602788 0.5531506889875449 0.2538708678312291 0.0
8078-3702 0.4067259843375368 -0.5910853050872753 1.4167034133390974 0.6432883174391542 0.22759503370843787 1.0
8078-3703 0.35587679262395644 -1.229956401099555 1.9289392002157877 0.47340792592367176 0.13988870539229578 0.0
8078-3704 0.36262654137115913 -0.6048350607140631 1.3019701169726532 0.5832344353084766 0.24949590038611957 0.0
8078-6103 0.4373342241111935 -0.6170293851009022 1.0706682713811708 0.43667240841769567 0.1974388826743597 1.0
8081-12702 0.725862709493921 -0.8347193015384697 3.1964387984362883 1.2200181413594098 0.49692208495391016 1.0
8081-1902 0.3363658041801051 -1.5369391189066157 2.0748582228880226 0.330740513456948 0.11382023121297163 0.0
