SPECOBJID RA DEC bptclass lgm_tot lgsfr_tot plateifu
392990498161190912 253.88911438 63.2421264648 1 9.32648468018 0.248754456639 7992-6102
392996820353050624 253.427398682 62.4200019836 3 10.7842111588 -1.79512119293 7992-12702
393018260829792256 252.474411011 62.8420066833 1 9.85163497925 -0.395114094019 7992-3704
393049596911183872 253.313110352 64.4762268066 1 10.2109708786 0.656724274158 7992-3702
393062241294903296 254.573852539 64.7056045532 1 8.89957237244 -0.621883630753 7992-12703
393067738853042176 253.007003784 64.1208343506 1 8.88057899475 -0.915743470192 7992-9101
393068288608856064 252.618972778 64.0206680298 3 11.1908473969 0.676618695259 7992-6103
393091378353039360 255.109527588 63.7279701233 1 9.1611328125 -0.850596308708 7992-1901
394151582305904640 255.27961731 64.6768417358 1 10.2191152573 0.623244285583 7992-6104
395294526136150016 254.395385742 62.872505188 2 11.20611763 -0.586053431034 7992-12705
395314317345449984 255.71647644 62.6043663025 2 10.758272171 -1.07659614086 7992-3703
396403933519570944 257.24786377 62.8979873657 3 10.4433069229 -0.617596387863 7992-1902
398580141959178240 261.979003906 59.7211074829 1 8.86361503601 -0.836085855961 8611-12705
398581241470806016 262.257385254 60.089389801 2 9.62456798553 -0.281250834465 8611-12701
398618075110336512 261.482513428 60.3394508362 2 10.0330410004 -1.56354725361 8611-1902
398629894860335104 260.705627441 60.4448852539 1 10.5226736069 0.0409885272384 8611-12704
398630994371962880 260.718780518 60.1295661926 3 9.94418525696 0.351617574692 8611-12702
398671401424283648 259.795440674 61.5422706604 3 10.4019498825 -0.107229962945 8611-9102
398671951180097536 259.795928955 62.1485366821 1 10.0013742447 -0.021091690287 8611-6103
398695865558001664 259.992614746 60.8918914795 1 9.95886707306 -0.133633673191 8611-6102
398701088238233600 260.470825195 60.9653282166 1 8.52644538879 -0.648740649223 8611-6104
399697245705889792 261.039459229 56.8744812012 2 9.7320728302 -0.905393898487 7990-6101
399724733496584192 259.755493164 57.1735191345 1 10.0834960938 -0.317555963993 7990-9101
399735178857048064 259.174621582 56.9277648926 2 9.99618530273 -0.446740537882 7991-9101
399771462740764672 257.83380127 56.9912986755 1 9.71267700195 -0.288461327553 7991-6103
399808296380295168 258.548461914 57.9761276245 3 10.8479194641 1.28089487553 7991-1901
402010068834347008 259.874572754 55.433013916 2 11.1207962036 -1.51526665688 7991-3701
403170878319257600 261.081756592 56.8762969971 2 9.72024536133 -1.57673597336 7991-6102
403172252708792320 262.099334717 57.5454177856 1 9.61159992218 0.803286552429 7990-3703
403177200511117312 261.321136475 56.9519081116 2 9.64576053619 -0.302666276693 7991-12704
