plateifu gini m20 C A S morph_flag
10001-12702 0.5037390888676897 -0.6056359101390115 1.509161419896356 0.8346046762345662 0.44403336223388323 0.0
10001-3702 0.46743488217524615 -1.589817524182645 2.426021066031586 0.15591468391683705 0.12488919281002332 0.0
10001-9101 0.38393069213808484 -0.8408985984855942 1.6135527081984473 0.7412810013330098 0.17533710846804726 0.0
7443-12702 0.4184454959423861 -0.7925379685311622 1.3105796830386343 0.8084324859772286 0.30831428016559825 0.0
7443-1901 0.524015209662818 -1.3880247197774662 2.3372402677100474 0.3970959992780546 0.08796465620597194 0.0
7443-3701 0.5607774470371314 -0.884617495754245 1.8507485048589016 0.9118599871233037 0.17535716338362203 0.0
7443-6101 0.4591958374141521 -0.6910308965536459 1.2221779320760482 0.48328924491027714 0.20952667883233173 0.0
7495-3701 0.3385836209544998 -0.6652575873099136 1.3018300188109606 0.5453628269339467 0.17547726878257802 0.0
7495-6101 0.5540987490582283 -1.2607492638553766 2.2704609578673987 0.4892546941598592 0.25746171312772737 0.0
7495-6102 0.5302787458748544 -1.0676242299163985 2.6447163171149817 0.6922345907379909 0.18532831946261571 0.0
7815-12703 0.7493050055984972 -0.5035990970912385 2.6091723373733187 1.0604597818523815 0.8554363619118384 1.0
7815-3702 0.41353585602336757 -1.0940559217391224 1.8406269587033783 0.3105608345061933 0.11409891166638178 0.0
7815-6103 0.3226420964603205 -0.767686361734977 1.5450874314807646 0.42428346805537365 0.16542657409168907 0.0
7957-12705 0.3895930337828019 -0.6339908448147415 1.450486652449823 0.571142915607178 0.3665350596720711 0.0
7957-3703 0.5606952392743721 -1.6334069584132918 2.5589363050461857 0.4881478423823419 0.16303470563402803 0.0
7957-3704 0.5197433263982948 -1.3858852106304493 2.3225024796288114 0.3812662276590027 0.19498461675304216 1.0
7957-9101 0.39519454134802867 -0.7194404204806668 1.3528010037063012 0.7191104434213262 0.22686059584093735 0.0
7957-9102 0.5384301240069498 -0.7467249984057477 1.2595955538933192 0.847626483058928 0.2444400125942303 0.0
7960-12705 0.3009937253438331 -0.7903319651261695 1.619233139805849 0.40654189497903714 0.2286972124196061 0.0
7960-3704 0.37684882723072827 -0.6014661314119956 1.5622588030408928 0.6544883843238648 0.2252476459018909 0.0
7960-6101 0.4153287204736409 -1.0530343905924853 1.9716513388272892 0.4769892405518487 0.14601553949379403 0.0
7960-6102 0.4455025574353431 -0.9341789217534052 1.673358759638485 0.6650932731251359 0.1430471711219365 0.0
7960-9101 0.45197144766840514 -0.8046488417746506 2.034988313472695 0.6845485050629031 0.2751892353694666 0.0
7962-12704 0.5145146225316872 -0.93680002511373 1.8158018328343424 0.7007621863964517 0.22175510817258795 0.0
7975-12702 0.7564080345096771 -1.5337885609914161 0.8621736285130971 0.7242079398883549 0.4224319213781877 1.0
7975-12705 0.4685001383202833 -0.5629562225083213 1.1441354096343639 0.8321167273283935 0.34937699746263867 0.0
7975-6104 0.5452585535793186 -0.4523933758653071 2.4560300592578166 0.6792664884032424 0.3287067842269421 0.0
7975-9101 0.5101397000543781 -0.6570367392489073 0.899192167119788 0.5194764967705213 0.2552307171305262 0.0
7977-12701 0.6385990617165166 -1.2384558483568378 2.470350553911407 0.745366416496383 0.3186416261716073 0.0
7977-3703 0.37632976246491884 -1.1123455549260242 1.7715928764719968 0.46868362543087727 0.12585787624725106 0.0
7990-1902 0.39784194635877457 -1.0406399020024086 1.90881370966824 0.2474714966847398 0.091435979531581 0.0
7990-3703 0.34004066506495384 -0.8382095525894538 1.708140449411818 0.47712697627063116 0.1384575180323223 0.0
7990-6101 0.539895033235022 -0.7067388132401211 2.0813916774976446 0.537343179336876 0.295025987608306 1.0
7990-6104 0.3631118491880302 -0.6521208222395141 1.3403411746316118 0.6817683028229707 0.16761936839371158 0.0
7991-12704 0.4028744996937248 -0.5691165470104316 1.4634339629827362 0.6299397473051833 0.3031514582760233 0.0
7992-1901 0.32915303153768194 -0.9852244685673066 1.6697864084738052 0.3467026075993145 0.10668946467261918 0.0
7992-3702 0.36779792280126095 -0.7724929520825649 1.5127611542194241 0.4251052493130502 0.17399943191773415 0.0
8077-12701 0.478826331040583 -0.664065878507297 1.4193064328016485 0.8138395527015112 0.34692754343132504 0.0
8077-12705 0.4695313880200999 -0.544070082245887 1.417948614218294 0.7379212210012862 0.318166343376069 0.0
8077-3702 0.5463359427520608 -1.5436198882320495 2.4245775339672755 0.1986793213309098 0.15879455958845448 0.0
8077-3704 0.44890730898157016 -1.2885225654343466 2.1963363348591396 0.2955324303774659 0.14889324919425767 0.0
8077-6104 0.3684140876816127 -0.6138714328277894 1.1193463972602788 0.5531506889875449 0.2538708678312291 0.0
8078-3702 0.4067259843375368 -0.5910853050872753 1.4167034133390974 0.6432883174391542 0.22759503370843787 1.0
8078-3703 0.35587679262395644 -1.229956401099555 1.9289392002157877 0.47340792592367176 0.13988870539229578 0.0
8078-3704 0.36262654137115913 -0.6048350607140631 1.3019701169726532 0.5832344353084766 0.24949590038611957 0.0
8081-12702 0.725862709493921 -0.8347193015384697 3.1964387984362883 1.2200181413594098 0.49692208495391016 1.0
8081-1902 0.3363658041801051 -1.5369391189066157 2.0748582228880226 0.330740513456948 0.11382023121297163 0.0
8081-3702 0.6644613697626719 -0.45752369267207393 1.8002526721639212 0.9720955598573316 0.6044226830162867 1.0
8081-3704 0.42624238180426277 -0.9511796712673815 1.9709042085312785 0.45513450896383545 0.15958943101603232 0.0
8081-6103 0.36193195307054565 -0.7973448484130911 1.8659692356959163 0.5779555879550705 0.21224426048525316 0.0
8081-9101 0.5119437237859263 -0.7320611442104386 2.033114439370585 0.44523845089861697 0.20972572352425653 0.0
8082-1902 0.68719921406763 -0.6438938992322465 1.3377921366887207 1.1191755718144452 0.5506179378971504 1.0
8082-6101 0.6106438737763488 -0.84241715553588 2.6238779208558745 0.8304550864826081 0.4939339218243892 0.0
8082-6103 0.37075690500706443 -0.8225747717861042 1.7185206755380849 0.5805233256751539 0.14307783729793844 0.0
8083-3702 0.5277107553921734 -0.8182039222336187 2.441870134252574 0.5644129337093554 0.23429990722370445 0.0
8084-12701 0.5051930783784612 -0.8013054363643921 1.6370307373539248 0.8181233061033647 0.29347850283383276 0.0
8084-3702 0.3701285544243195 -1.0391506698054265 1.8496277363974722 0.34771115720219054 0.1509503346294423 0.0
8084-3704 0.37553707607444375 -0.5095424897608698 1.5234442077500812 0.560632543912835 0.25779622031123667 0.0
8084-6101 0.4118452656766771 -1.1303491496782065 1.92049888483904 0.6648438179463261 0.1421089599014673 0.0
8084-6102 0.32971065977780917 -0.6976190519606235 1.3814201494015321 0.41792331777131575 0.18503689818937963 0.0
8084-9102 0.36864172945088225 -0.9830826673426665 1.732868389339336 0.5437679984610903 0.18102549078682584 0.0
8086-12701 0.6593815490707186 -0.823197732054044 1.4010566000483462 1.1207301069336666 0.6119986326845229 1.0
8086-1902 0.3778346797210636 -1.072550292543754 1.6853794515171103 0.5206203363668848 0.11219306794988952 0.0
8086-3702 0.2447164610167437 -0.5752922607124578 1.3556728126722875 0.23216497586194795 0.15965805511634615 1.0
8086-6102 0.7804398280783968 -0.6074048356640824 1.1899617440080474 1.24706794171775 0.7681163870869931 1.0
8131-6101 0.45614455486779715 -0.5692502674195314 1.4965230304284858 0.5897029968058071 0.248635972325941 0.0
8131-9101 0.5381086898473599 -0.9535037845287861 2.341795298016093 0.7882918912578126 0.21158851615013907 0.0
8132-12703 0.37327587143690927 -0.6744260927999485 1.170722584627201 0.5449129778764281 0.24662431276240626 0.0
8133-9102 0.7248952598186585 -0.6429665864151002 1.4730036589919402 0.9669619553078912 0.6851283478666939 1.0
8134-12703 0.37681443965932027 -0.7848950643248317 1.8081653361217533 0.6059021285104593 0.23847497046841576 0.0
8134-1901 0.3269020642975337 -0.7793083326667283 1.3238185072188988 0.6145719576291663 0.1370908280046159 0.0
8134-3701 0.7396536605145724 -0.784408664481204 1.4698547503223076 1.1379251338105936 0.6077859194171149 1.0
8135-12702 0.50015570644729 -0.6215083483026705 1.2640405155851502 0.6427344035834812 0.3067368705310478 0.0
8135-12703 0.3877495616242833 -0.6446581436630437 1.4760216905883847 0.5523953593027904 0.31854524729750666 0.0
8135-1901 0.47537484377160094 -1.7083673130810637 2.6219305394009695 0.3764753874932518 0.1373001955945204 0.0
8135-3702 0.37612115921245837 -0.6162008909508246 1.372133827620659 0.5378266194525327 0.1829810271420253 0.0
8135-3704 0.41045503669925076 -0.5649996259162235 1.6272990049451532 0.5806079284563042 0.22816073809636064 0.0
8135-9102 0.4542858784196236 -0.8257153488531417 2.0140417963124095 0.6166751742423667 0.29680026127085873 0.0
8137-12702 0.35753877574154397 -0.6538303293679035 1.50034943381082 0.5125687554978274 0.2356387934954352 0.0
8137-12704 0.44369655867903185 -0.6825855637700933 1.4238690574441648 0.6415544600084963 0.32455248521900965 0.0
8138-12701 0.40157924751110663 -0.8058445583404783 1.450626966008013 0.7130338803630173 0.21579268444302166 0.0
8138-3704 0.45860814200152017 -1.5021454003535493 2.6612376897203927 0.4701266880941151 0.2292476005363426 0.0
8138-6104 0.3852754611798722 -0.8581277210548801 1.5886886764952113 0.3720744429327768 0.1593658992874259 0.0
8140-12705 0.40056552178027577 -0.9001681992881481 1.323396960744099 0.7085388274537596 0.22191965014825316 0.0
8140-1902 0.2813222351860477 -1.0752805395126424 1.8247447084869473 0.3334060029723501 0.12875535566742585 0.0
8140-6102 0.4076611527203067 -0.8940825241330539 1.734975014485975 0.519469320640919 0.18678319727603315 0.0
8140-9101 0.4565865350648448 -1.1945545607317383 1.6742461445407493 0.7499314941252702 0.20400889889386845 0.0
8141-12704 0.4278112237524218 -0.6782531110999833 1.2945559110952942 0.7114319628349625 0.31332207681633234 0.0
8141-9102 0.3928673194918742 -0.7948458874848491 1.3824543426239129 0.7639022121222123 0.17595726992780064 0.0
8143-3701 0.8251399275969379 -0.6817010057804455 1.0132682332277692 1.3352221858870252 0.7756445268145871 1.0
8143-6102 0.35661045840674466 -0.663438917243064 1.2377296882881141 0.5416240127763178 0.19692883519335974 0.0
