plateifu weight_difference weight_ratio mode_flag bptclass
10001-12702 352.0 2.086084541808084 0.0 2.0
10001-3702 -814.0 0.10263477014662109 -1.0 1.0
10001-9101 -676.0 0.19341367378594437 -1.0 1.0
7443-12702 -370.0 0.45993285651729676 0.0 2.0
7443-12703 -240.0 0.6129656507014998 0.0 3.0
7443-1901 -360.0 0.470666078517865 0.0 1.0
7443-3701 -322.0 0.5129329904704281 0.0 1.0
7443-6101 204.0 1.5124340617935192 0.0 1.0
7443-9101 252.0 1.6736166800320769 0.0 3.0
7495-3701 896.0 18.197696737044147 1.0 2.0
7495-6101 -366.0 0.46420729029424684 0.0 1.0
7495-6102 162.0 1.3865425912670006 0.0 1.0
7815-12703 850.0 12.318242343541945 1.0 1.0
7815-3702 22.0 1.0449805765692088 0.0 1.0
7815-6103 762.0 7.3979848866498745 1.0 1.0
7957-12705 982.0 108.91208791208791 1.0 2.0
7957-3703 -586.0 0.2611272222922708 -1.0 1.0
7957-3704 -556.0 0.2854388896028788 -1.0 1.0
7957-9101 122.0 1.277841038487816 0.0 1.0
7957-9102 698.0 5.6194573130377234 1.0 1.0
7960-12705 530.0 3.2543598468736707 1.0 1.0
7960-3704 674.0 5.132434089515635 1.0 1.0
7960-6101 -390.0 0.438929650410013 0.0 1.0
7960-6102 -208.0 0.6556861446780334 0.0 1.0
7960-9101 578.0 3.7380388441496923 1.0 1.0
7962-12704 124.0 1.2830404017347636 0.0 1.0
7962-9101 194.0 1.481270156288762 0.0 3.0
7975-12702 950.0 38.84860557768924 1.0 1.0
7975-12705 744.0 6.807962529274005 1.0 1.0
7975-6104 -98.0 0.8215261336732835 0.0 2.0
7975-9101 664.0 4.950029744199881 1.0 2.0
7977-12701 -184.0 0.6892416821482857 0.0 1.0
7977-3703 140.0 1.325505696349686 0.0 1.0
7990-3703 -106.0 0.8083529199059845 0.0 1.0
7990-6101 48.0 1.1008191556395714 0.0 2.0
7990-6104 128.0 1.2935106626920432 0.0 1.0
7991-12704 706.0 5.799456152277362 1.0 2.0
7992-1901 -462.0 0.3680755026672138 0.0 1.0
7992-3702 198.0 1.493642483171279 0.0 1.0
8077-12701 894.0 17.836158192090394 1.0 2.0
